date,price
1/30/2018,56.3449
1/29/2018,56.4134
1/26/2018,56.1947
1/25/2018,55.7395
1/24/2018,56.2361
1/23/2018,56.4146
1/22/2018,56.5818
1/19/2018,56.671
1/18/2018,56.5748
1/17/2018,56.7396
1/16/2018,56.4024
1/15/2018,56.35
1/12/2018,56.5153
1/11/2018,56.6713
1/10/2018,56.9568
1/9/2018,57.035
1/5/2018,57.0035
1/4/2018,57.0176
1/3/2018,57.3287
